MUNICIPI,LATITUD,LONGITUD
Juneda,41.5489293424,0.825083634
Cubells,41.8527898449,0.956755979
Vinebre,41.1843644123,0.5903807865
Rellinars,41.6372682951,1.9107809489
Garriga,41.6850949324,2.2859037514
Conesa,41.5186165932,1.2911297538
Sant Andreu Salou,41.873492785,2.8254079585
Almatret,41.30554,0.42394
Cistella,42.26845603,2.84743417
Almoster,41.1982246452,1.1127370525
Vilamacolum,42.1962963891,3.0569754424
Móra la Nova,41.0997918522,0.650450894
Garrigoles,42.1036645555,3.0207381395
Porqueres,42.10254,2.78986
Avinyonet del Penedès,41.3609618451,1.7793331322
Lliçà d'Amunt,41.6085386905,2.2393104394
Alió,41.295156058,1.3064773536
Palau-sator,41.9896299747,3.1111307001
Sant Martí de Tous,41.5607908382,1.523378348
Borges del Camp,41.18195,1.04616
Sant Llorenç de la Muga,42.3203086377,2.790249429
Olesa de Bonesvalls,41.3518522883,1.8505108137
Puigpelat,41.2799763943,1.2968125625
Palma de Cervelló,41.4110633148,1.9711168405
Cabrera de Mar,41.5259864648,2.393327562
Bisbal d'Empordà,41.9592461638,3.0376337911
Tossa de Mar,41.7177661,2.9310103
Ampolla,40.8140153,0.7140557
Sarroca de Lleida,41.4585778072,0.5610666106
Vielha e Mijaran,42.7018602236,0.7956381675
Alcoletge,41.6469987462,0.6942465172
Pontils,41.4773846048,1.387905929
Vilella Alta,41.2246882547,0.7813222879
Ossó de Sió,41.7477488,1.1736747
Bolvir,42.418902774,1.880004349
Torà,41.8128864209,1.4028525094
Tivenys,40.9070277453,0.5116168163
Montellà i Martinet,42.3598855749,1.6951042857
Caldes de Malavella,41.8388259951,2.8097321833
Manresa,41.7321151,1.8231456
Guardiola de Berguedà,42.233174034,1.8791911782
Llambilles,41.9208565106,2.8589787911
Benissanet,41.0567971477,0.6349105646
Vilabertran,42.2838856594,2.9795093178
Granja d'Escarp,41.4183771209,0.3521598212
Cerdanyola del Vallès,41.4914256537,2.1408403131
Sant Esteve Sesrovires,41.4932290958,1.8743690697
Mataró,41.5397919667,2.4447732234
Estamariu,42.372937826,1.5225489509
Albagés,41.4470074,0.7408063
Paüls,40.9225158979,0.4001898495
Arbúcies,41.81605363,2.5139155884
Montferri,41.2654141019,1.3652750769
Folgueroles,41.942893827,2.3145405029
Juià,42.0175804556,2.9074182117
Calonge de Segarra,41.765895718,1.4826325206
Breda,41.7486695507,2.5572342342
Mura,41.7002149,1.976114
Lladurs,42.0465778291,1.5077003805
Molins de Rei,41.4136359315,2.0160372618
Saldes,42.2284817055,1.7352294668
Castellví de la Marca,41.3264014117,1.6182192763
Alcarràs,41.562897023,0.5243831781
Tavertet,41.9954847837,2.4173043596
Jafre,42.0719521545,3.010727337
Portella,41.7400154723,0.6392258054
Alpicat,41.6658736299,0.5556831261
Banyeres del Penedès,41.2794178261,1.5808567237
Vilanova de Sau,41.9471694415,2.3836490791
Abella de la Conca,42.1506414517,1.0808336094
Pont d'Armentera,41.3836006718,1.3628857402
Vilademuls,42.1595633,2.9105831
Santa Cristina d'Aro,41.814673772,3.0012039853
Milà,41.2485425435,1.2065830157
Les,41.3761938954,0.8585804156
Gaià,41.9163205143,1.9249119706
Hostalric,41.7457514413,2.6413427839
Orpí,41.5286521243,1.6068804842
Roda de Ter,41.9807005296,2.3092741917
Brunyola i Sant Martí Sapresa,41.919474,2.6535126
Colldejou,41.0999618504,0.8882297827
Ribes de Freser,42.3060716726,2.1677248146
Calella,41.6132629079,2.6569666099
Balaguer,41.7895530731,0.8046542039
Cervelló,41.39616,1.9589
Vilanova de l'Aguda,41.9114814161,1.2526320555
Massanes,41.7663828927,2.6517123538
Piles,41.5038399,1.34247
Fonollosa,41.742075,1.714073
Sant Andreu de la Barca,41.4500998225,1.9713052321
Castellgalí,41.6763623469,1.8427975818
Torre de Fontaubella,41.1244300362,0.8641755449
Vallclara,41.3770722657,0.9816553218
Almenar,41.7979029223,0.5676955797
Torres de Segre,41.5352705974,0.5135682147
Lladorre,42.59274,1.24832
Torrelles de Foix,41.3880698341,1.5722825829
Esparreguera,41.5389907148,1.870647647
Carme,41.5309437909,1.6230129159
Castelló d'Empúries,42.2582868546,3.0742421698
Sant Cebrià de Vallalta,41.6196840948,2.6001293034
Vidrà,42.1222310458,2.3100722122
Monistrol de Montserrat,41.6098211942,1.8427389853
Sant Pere de Ribes,41.262361813,1.7719901108
Saus Camallera i Llampaies,42.1249497544,2.9649145762
Cardona,41.9131295207,1.6805439299
Bellprat,41.5189419057,1.4353016253
Bellvís,41.6722729337,0.8175403478
Arsèguel,42.349926521,1.5828167467
Llardecans,41.3741208684,0.5504761178
Monistrol de Calders,41.7606040453,2.0138929356
Matadepera,41.5966913757,2.0267033787
Pals,41.9710719148,3.1450338321
Sant Celoni,41.6900880942,2.4923433487
Porrera,41.1886662,0.8561361
Vilanova de Prades,41.3480448553,0.9560319248
Fuliola,41.7143446934,1.0188001448
Calafell,41.2007275921,1.5685467356
Vila-sacra,42.266256164,3.018359486
Pobla de Claramunt,41.5550332629,1.6752920824
Sant Joan Despí,41.36789,2.0550711
Barcelona,41.3825106114,2.1771559089
Sant Feliu Sasserra,41.9445357014,2.0223880441
Canejan,42.8402190338,0.7395614388
Riells i Viabrea,41.72426,2.55556
Vallfogona de Ripollès,42.1972335405,2.3038998415
Caldes de Montbui,41.6344700719,2.1621234401
Maials,41.3658584221,0.5053253478
Arres,42.7557705,0.7111268
Sarral,41.444274843,1.2488154293
Salàs de Pallars,42.2119526469,0.9322776195
Poboleda,41.2326817283,0.8452878082
Aguilar de Segarra,41.7393269277,1.6280021133
Bisbal del Penedès,41.2804650516,1.487987841
Viladecans,41.3159852718,2.0200205586
Castelló de Farfanya,41.8204668652,0.7277008638
Bàscara,42.1596296164,2.9105986367
Vilassar de Dalt,41.5170431691,2.3583734716
